Atividade;Quantidade
Agências de notícias;10
Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes;9
Agenciamento de profissionais para atividades esportivas, culturais e artísticas;8
Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;7
Agenciamento de cargas, exceto para o transporte marítimo;6
Aluguel de andaimes;5
Agências matrimoniais;4
Aluguel de fitas de vídeo, DVDs e similares;3
Acabamento de calçados de couro sob contrato;2
Administração de caixas escolares;1
