Atividade;Quantidade
Preparação de documentos e serviços especializados de apoio administrativo;3.671
Promoção de vendas;2.682
Cabeleireiros, manicure e pedicure;2.548
Comércio varejista de artigos do vestuário e acessórios;2.061
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal;1.726
Serviços combinados de escritório e apoio administrativo;1.600
Treinamento em desenvolvimento profissional e gerencial;1.437
Atividades de estética e outros serviços de cuidados com a beleza;1.367
Outras atividades de ensino não especificadas anteriormente;1.231
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.126
Fornecimento de alimentos preparados preponderantemente para consumo domiciliar;986
Obras de alvenaria;972
Lanchonetes, casas de chá, de sucos e similares;955
Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente;912
Instalação e manutenção elétrica;834
Restaurantes e similares;757
Serviços domésticos;722
Serviços de organização de feiras, congressos, exposições e festas;669
Comércio varejista de outros produtos não especificados anteriormente;647
Reparação e manutenção de computadores e de equipamentos periféricos;629
Serviços de malote não realizados pelo Correio Nacional;626
Serviços ambulantes de alimentação;612
Serviços de manutenção e reparação mecânica de veículos automotores;610
Fabricação de produtos de padaria e confeitaria com predominância de produção própria;542
Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;532
Serviços de pintura de edifícios em geral;498
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;490
Serviços de entrega rápida;488
Suporte técnico, manutenção e outros serviços em tecnologia da informação;466
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;448
Comércio varejista de bebidas;447
Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;446
Serviços de engenharia;420
Edição de cadastros, listas e outros produtos gráficos;392
Comércio a varejo de peças e acessórios novos para veículos automotores;386
Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;384
Atividades de psicologia e psicanálise;373
Atividade médica ambulatorial restrita a consultas;369
Comércio varejista especializado de equipamentos e suprimentos de informática;367
Atividades de fornecimento de infraestrutura de apoio e assistência a paciente no domicílio;365
Atividades de produção de fotografias, exceto aérea e submarina;342
Instalação de máquinas e equipamentos industriais;336
Atividades paisagísticas;325
Higiene e embelezamento de animais domésticos;313
Corretagem na compra e venda e avaliação de imóveis;302
Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento;299
Serviços de lanternagem ou funilaria e pintura de veículos automotores;289
Produção musical;284
Comércio varejista de suvenires, bijuterias e artesanatos;280
Serviços de lavagem, lubrificação e polimento de veículos automotores;280
Consultoria em tecnologia da informação;278
Agências de viagens;272
Fabricação de produtos diversos não especificados anteriormente;263
Comercio varejista de artigos de armarinho;262
Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação;257
Lojas de variedades, exceto lojas de departamentos ou magazines;239
Treinamento em informática;238
Serviços de usinagem, torneiria e solda;237
Atividade odontológica;227
Atividades de contabilidade;222
Serviços de montagem de móveis de qualquer material;220
Ensino de arte e cultura não especificado anteriormente;218
Comércio varejista de outros artigos de uso doméstico não especificados anteriormente;217
Comércio varejista de artigos de joalheria;216
Comércio varejista de hortifrutigranjeiros;214
Comércio varejista especializado de equipamentos de telefonia e comunicação;208
Ensino de idiomas;204
